TEFF   4750.  GRAVITY 4.00000 LTE 
TITLE  [0.0] VTURB=2  L/H=1.25 NOVER NEW ODF                                    
FLUX    1     9.09        3.298047E+16   1.5207-236   1.5207-236   0.99998
FLUX    2     9.35        3.206337E+16   5.1057-230   5.1058-230   0.99998
FLUX    3     9.61        3.119589E+16   7.5802-224   7.5804-224   0.99998
FLUX    4     9.77        3.068500E+16   3.2633-220   3.2634-220   0.99998
FLUX    5     9.96        3.009965E+16   4.7515-216   4.7516-216   0.99998
FLUX    6    10.20        2.939142E+16   5.1556-211   5.1557-211   0.99998
FLUX    7    10.38        2.888174E+16   2.1648-207   2.1648-207   0.99998
FLUX    8    10.56        2.838944E+16   6.8289-204   6.8290-204   0.99998
FLUX    9    10.77        2.783589E+16   5.8552-200   5.8553-200   0.99998
FLUX   10    11.04        2.715512E+16   4.0145-195   4.0146-195   0.99998
FLUX   11    11.40        2.629759E+16   4.9316-189   4.9317-189   0.99998
FLUX   12    11.78        2.544928E+16   5.1851-183   5.1852-183   0.99998
FLUX   13    12.13        2.471496E+16   8.4171-178   8.4173-178   0.99998
FLUX   14    12.48        2.402184E+16   6.9355-173   6.9356-173   0.99998
FLUX   15    12.71        2.358714E+16   8.3803-170   8.3804-170   0.99998
FLUX   16    12.84        2.334833E+16   4.1333-168   4.1334-168   0.99998
FLUX   17    13.05        2.297260E+16   1.9031-165   1.9031-165   0.99998
FLUX   18    13.24        2.264294E+16   4.1255-163   4.1256-163   0.99998
FLUX   19    13.39        2.238928E+16   2.5861-161   2.5861-161   0.99998
FLUX   20    13.66        2.194674E+16   3.5264-158   3.5264-158   0.99998
FLUX   21    13.98        2.144439E+16   1.2726-154   1.2726-154   0.99998
FLUX   22    14.33        2.092062E+16   6.4816-151   6.4817-151   0.99998
FLUX   23    14.72        2.036634E+16   5.4097-147   5.4098-147   0.99998
FLUX   24    15.10        1.985381E+16   2.2794-143   2.2795-143   0.99998
FLUX   25    15.52        1.931653E+16   1.4317-139   1.4317-139   0.99998
FLUX   26    15.88        1.887862E+16   1.7765-136   1.7766-136   0.99998
FLUX   27    16.20        1.850571E+16   7.6414-134   7.6416-134   0.99998
FLUX   28    16.60        1.805979E+16   1.0744-130   1.0744-130   0.99998
FLUX   29    17.03        1.760379E+16   1.7735-127   1.7735-127   0.99998
FLUX   30    17.34        1.728907E+16   2.9406-125   2.9406-125   0.99998
FLUX   31    17.68        1.695659E+16   6.4938-123   6.4939-123   0.99998
FLUX   32    18.02        1.663665E+16   1.1675-120   1.1675-120   0.99998
FLUX   33    18.17        1.649931E+16   1.0836-119   1.0837-119   0.99998
FLUX   34    18.61        1.610921E+16   6.0623-117   6.0624-117   0.99998
FLUX   35    19.10        1.569594E+16   4.9188-114   4.9189-114   0.99998
FLUX   36    19.39        1.546119E+16   2.2018-112   2.2018-112   0.99998
FLUX   37    19.84        1.511051E+16   6.4286-110   6.4287-110   0.99998
FLUX   38    20.18        1.485592E+16   3.9618-108   3.9618-108   0.99998
FLUX   39    20.50        1.462402E+16   1.6909-106   1.6910-106   0.99998
FLUX   40    21.05        1.424192E+16   8.1494-104   8.1495-104   0.99998
FLUX   41    21.62        1.386644E+16   3.5166-101   3.5167-101   0.99998
FLUX   42    21.98        1.363933E+16   1.3776E-99   1.3776E-99   0.99998
FLUX   43    22.30        1.344361E+16   3.2400E-98   3.2401E-98   0.99998
FLUX   44    22.68        1.321836E+16   1.2267E-96   1.2267E-96   0.99998
FLUX   45    23.00        1.303446E+16   2.3838E-95   2.3839E-95   0.99998
FLUX   46    23.40        1.281165E+16   8.6439E-94   8.6441E-94   0.99998
FLUX   47    24.00        1.249135E+16   1.5039E-91   1.5039E-91   0.99998
FLUX   48    24.65        1.216197E+16   3.0198E-89   3.0199E-89   0.99998
FLUX   49    25.24        1.187767E+16   2.9254E-87   2.9255E-87   0.99998
FLUX   50    25.68        1.167416E+16   7.7126E-86   7.7127E-86   0.99998
FLUX   51    26.00        1.153048E+16   7.7627E-85   7.7629E-85   0.99998
FLUX   52    26.40        1.135578E+16   1.2848E-83   1.2849E-83   0.99998
FLUX   53    26.85        1.116546E+16   2.7247E-82   2.7248E-82   0.99998
FLUX   54    27.35        1.096133E+16   7.1951E-81   7.1953E-81   0.99998
FLUX   55    27.85        1.076454E+16   1.6886E-79   1.6886E-79   0.99998
FLUX   56    28.40        1.055607E+16   4.7649E-78   4.7650E-78   0.99998
FLUX   57    29.00        1.033767E+16   1.5719E-76   1.5719E-76   0.99998
FLUX   58    29.60        1.012812E+16   4.4821E-75   4.4822E-75   0.99998
FLUX   59    30.10        9.959883E+15   6.6001E-74   6.6010E-74   0.99986
FLUX   60    30.80        9.733523E+15   2.4541E-72   2.4541E-72   0.99998
FLUX   61    31.80        9.427437E+15   3.2417E-70   3.2417E-70   0.99998
FLUX   62    32.80        9.140015E+15   3.1611E-68   3.1612E-68   0.99998
FLUX   63    33.80        8.869601E+15   2.3357E-66   2.3358E-66   0.99998
